	JD-11	JD-217	JD-214	JD-111	JD-207	JD-205	JD-110	JD-197	JD-29	JD-28	JD-25	JD-237
ASV_287	0	0	0	0	0	0	0	0	0	3	0	0
ASV_288	0	0	0	0	0	0	0	0	0	0	3	0
ASV_289	0	0	0	0	0	0	0	0	0	0	3	0
ASV_290	0	0	0	0	0	0	0	0	0	0	0	3
ASV_291	2	0	0	0	0	0	0	0	0	0	0	0
ASV_292	2	0	0	0	0	0	0	0	0	0	0	0
ASV_293	2	0	0	0	0	0	0	0	0	0	0	0
ASV_294	2	0	0	0	0	0	0	0	0	0	0	0
ASV_295	2	0	0	0	0	0	0	0	0	0	0	0
ASV_296	1	0	0	0	0	0	0	0	0	1	0	0
ASV_297	0	2	0	0	0	0	0	0	0	0	0	0
ASV_298	0	0	0	0	2	0	0	0	0	0	0	0
ASV_299	0	0	0	0	0	2	0	0	0	0	0	0
ASV_300	0	0	0	0	0	2	0	0	0	0	0	0
ASV_301	0	0	0	0	0	2	0	0	0	0	0	0
ASV_302	0	0	0	0	0	0	0	0	2	0	0	0
ASV_303	0	0	0	0	0	0	0	0	2	0	0	0
ASV_304	0	0	0	0	0	0	0	0	2	0	0	0
ASV_305	0	0	0	0	0	0	0	0	0	2	0	0
ASV_306	0	0	0	0	0	0	0	0	0	2	0	0
ASV_307	0	0	0	0	0	0	0	0	0	2	0	0
ASV_308	0	0	0	0	0	0	0	0	0	2	0	0
ASV_309	0	0	0	0	0	0	0	0	0	0	2	0
ASV_310	0	0	0	0	0	0	0	0	0	0	0	2
ASV_311	1	0	0	0	0	0	0	0	0	0	0	0
ASV_312	1	0	0	0	0	0	0	0	0	0	0	0
ASV_313	1	0	0	0	0	0	0	0	0	0	0	0
ASV_314	1	0	0	0	0	0	0	0	0	0	0	0
ASV_315	1	0	0	0	0	0	0	0	0	0	0	0
ASV_316	0	0	1	0	0	0	0	0	0	0	0	0
ASV_317	0	0	1	0	0	0	0	0	0	0	0	0
ASV_318	0	0	0	1	0	0	0	0	0	0	0	0
ASV_319	0	0	0	0	1	0	0	0	0	0	0	0
ASV_320	0	0	0	0	1	0	0	0	0	0	0	0
ASV_321	0	0	0	0	1	0	0	0	0	0	0	0
ASV_322	0	0	0	0	1	0	0	0	0	0	0	0
ASV_323	0	0	0	0	1	0	0	0	0	0	0	0
ASV_324	0	0	0	0	1	0	0	0	0	0	0	0
ASV_325	0	0	0	0	1	0	0	0	0	0	0	0
ASV_326	0	0	0	0	0	1	0	0	0	0	0	0
ASV_327	0	0	0	0	0	1	0	0	0	0	0	0
ASV_328	0	0	0	0	0	0	0	0	1	0	0	0
ASV_329	0	0	0	0	0	0	0	0	1	0	0	0
ASV_330	0	0	0	0	0	0	0	0	1	0	0	0
ASV_331	0	0	0	0	0	0	0	0	1	0	0	0
ASV_332	0	0	0	0	0	0	0	0	1	0	0	0
ASV_333	0	0	0	0	0	0	0	0	0	1	0	0
ASV_334	0	0	0	0	0	0	0	0	0	0	0	1
ASV_335	0	0	0	0	0	0	0	0	0	0	0	1
ASV_336	0	0	0	0	0	0	0	0	0	0	0	1
